traffic_unnamed_col1,traffic_unnamed_col2,year,region,state,traffic_accidents,traffic_coordinates,traffic_x_coordinate,traffic_y_coordinate,driving_unnamed_col,driving_licenses,driving_coordinates,driving_x_coordinates,driving_y_coordinate
0,0,2016,Makkah,of Casualties  and   Injured,12383,"21.628962766, 41.2636898334",41.2636898334,21.628962766,158,136055,"21.628962766, 41.2636898334",41.2636898334,21.628962766
37,37,2016,Makkah,of Accidents,134838,"21.628962766, 41.2636898334",41.2636898334,21.628962766,158,136055,"21.628962766, 41.2636898334",41.2636898334,21.628962766
73,73,2016,Makkah,of Casualties  and   Dead,2243,"21.628962766, 41.2636898334",41.2636898334,21.628962766,158,136055,"21.628962766, 41.2636898334",41.2636898334,21.628962766
1,1,2016,Eastern_Region,of Casualties  and   Dead,1113,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307,256,142307,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307
25,25,2016,Eastern_Region,of Accidents,101619,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307,256,142307,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307
26,26,2016,Eastern_Region,of Casualties  and   Injured,4893,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307,256,142307,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307
2,2,2016,Tabouk,of Casualties  and   Dead,434,"27.90165499, 37.2598581394",37.2598581394,27.90165499,342,13610,"27.90165499, 37.2598581394",37.2598581394,27.90165499
41,41,2016,Tabouk,of Accidents,16031,"27.90165499, 37.2598581394",37.2598581394,27.90165499,342,13610,"27.90165499, 37.2598581394",37.2598581394,27.90165499
42,42,2016,Tabouk,of Casualties  and   Injured,1724,"27.90165499, 37.2598581394",37.2598581394,27.90165499,342,13610,"27.90165499, 37.2598581394",37.2598581394,27.90165499
3,3,2016,Hail,of Casualties  and   Dead,299,"27.400845724, 41.4406960508",41.4406960508,27.400845724,215,54507,"27.400845724, 41.4406960508",41.4406960508,27.400845724
4,4,2016,Hail,of Accidents,10199,"27.400845724, 41.4406960508",41.4406960508,27.400845724,215,54507,"27.400845724, 41.4406960508",41.4406960508,27.400845724
57,57,2016,Hail,of Casualties  and   Injured,932,"27.400845724, 41.4406960508",41.4406960508,27.400845724,215,54507,"27.400845724, 41.4406960508",41.4406960508,27.400845724
5,5,2016,Northern_Boarder,of Casualties  and   Dead,193,"30.197074783, 41.8171186952",41.8171186952,30.197074783,113,4958,"30.197074783, 41.8171186952",41.8171186952,30.197074783
9,9,2016,Northern_Boarder,of Casualties  and   Injured,631,"30.197074783, 41.8171186952",41.8171186952,30.197074783,113,4958,"30.197074783, 41.8171186952",41.8171186952,30.197074783
58,58,2016,Northern_Boarder,of Accidents,13196,"30.197074783, 41.8171186952",41.8171186952,30.197074783,113,4958,"30.197074783, 41.8171186952",41.8171186952,30.197074783
6,6,2017,Jazan,of Accidents,22161,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997,285,18345,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997
20,20,2017,Jazan,of Casualties  and   Dead,466,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997,285,18345,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997
21,21,2017,Jazan,of Casualties  and   Injured,2207,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997,285,18345,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997
7,7,2017,Al_Jouf,of Accidents,10469,"29.9677445762, 39.5570371172",39.5570371172,29.967744576199998,234,8091,"29.9677445762, 39.5570371172",39.5570371172,29.967744576199998
23,23,2017,Al_Jouf,of Casualties  and   Injured,862,"29.9677445762, 39.5570371172",39.5570371172,29.967744576199998,234,8091,"29.9677445762, 39.5570371172",39.5570371172,29.967744576199998
54,54,2017,Al_Jouf,of Casualties  and   Dead,240,"29.9677445762, 39.5570371172",39.5570371172,29.967744576199998,234,8091,"29.9677445762, 39.5570371172",39.5570371172,29.967744576199998
10,10,2016,Jazan,of Casualties  and   Dead,514,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997,286,11504,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997
27,27,2016,Jazan,of Casualties  and   Injured,2259,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997,286,11504,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997
59,59,2016,Jazan,of Accidents,25873,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997,286,11504,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997
11,11,2016,Al_Baaha,of Casualties  and   Injured,1227,"20.1484058503, 41.4665484892",41.4665484892,20.1484058503,50,4614,"20.1484058503, 41.4665484892",41.4665484892,20.1484058503
43,43,2016,Al_Baaha,of Casualties  and   Dead,185,"20.1484058503, 41.4665484892",41.4665484892,20.1484058503,50,4614,"20.1484058503, 41.4665484892",41.4665484892,20.1484058503
44,44,2016,Al_Baaha,of Accidents,3618,"20.1484058503, 41.4665484892",41.4665484892,20.1484058503,50,4614,"20.1484058503, 41.4665484892",41.4665484892,20.1484058503
12,12,2016,Al_Jouf,of Casualties  and   Injured,920,"29.9677445762, 39.5570371172",39.5570371172,29.967744576199998,310,9371,"29.9677445762, 39.5570371172",39.5570371172,29.967744576199998
28,28,2016,Al_Jouf,of Accidents,10212,"29.9677445762, 39.5570371172",39.5570371172,29.967744576199998,310,9371,"29.9677445762, 39.5570371172",39.5570371172,29.967744576199998
45,45,2016,Al_Jouf,of Casualties  and   Dead,245,"29.9677445762, 39.5570371172",39.5570371172,29.967744576199998,310,9371,"29.9677445762, 39.5570371172",39.5570371172,29.967744576199998
13,13,2017,Riyadh,of Accidents,99925,"23.0814341634, 45.5857512766",45.5857512766,23.0814341634,292,495307,"23.0814341634, 45.5857512766",45.5857512766,23.0814341634
14,14,2017,Riyadh,of Casualties  and   Injured,4540,"23.0814341634, 45.5857512766",45.5857512766,23.0814341634,292,495307,"23.0814341634, 45.5857512766",45.5857512766,23.0814341634
70,70,2017,Riyadh,of Casualties  and   Dead,1399,"23.0814341634, 45.5857512766",45.5857512766,23.0814341634,292,495307,"23.0814341634, 45.5857512766",45.5857512766,23.0814341634
15,15,2017,Madinah,of Casualties  and   Dead,580,"24.927534539, 39.4918237173",39.4918237173,24.927534539,247,36165,"24.927534539, 39.4918237173",39.4918237173,24.927534539
47,47,2017,Madinah,of Casualties  and   Injured,2917,"24.927534539, 39.4918237173",39.4918237173,24.927534539,247,36165,"24.927534539, 39.4918237173",39.4918237173,24.927534539
61,61,2017,Madinah,of Accidents,16070,"24.927534539, 39.4918237173",39.4918237173,24.927534539,247,36165,"24.927534539, 39.4918237173",39.4918237173,24.927534539
16,16,2017,Qassim,of Accidents,22405,"26.1967063704, 43.3429998455",43.3429998455,26.1967063704,86,6318,"26.1967063704, 43.3429998455",43.3429998455,26.1967063704
31,31,2017,Qassim,of Casualties  and   Injured,1446,"26.1967063704, 43.3429998455",43.3429998455,26.1967063704,86,6318,"26.1967063704, 43.3429998455",43.3429998455,26.1967063704
62,62,2017,Qassim,of Casualties  and   Dead,319,"26.1967063704, 43.3429998455",43.3429998455,26.1967063704,86,6318,"26.1967063704, 43.3429998455",43.3429998455,26.1967063704
17,17,2017,Eastern_Region,of Accidents,81433,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307,94,126816,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307
32,32,2017,Eastern_Region,of Casualties  and   Dead,963,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307,94,126816,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307
63,63,2017,Eastern_Region,of Casualties  and   Injured,4073,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307,94,126816,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307
18,18,2017,Tabouk,of Accidents,11713,"27.90165499, 37.2598581394",37.2598581394,27.90165499,101,10232,"27.90165499, 37.2598581394",37.2598581394,27.90165499
49,49,2017,Tabouk,of Casualties  and   Injured,1243,"27.90165499, 37.2598581394",37.2598581394,27.90165499,101,10232,"27.90165499, 37.2598581394",37.2598581394,27.90165499
65,65,2017,Tabouk,of Casualties  and   Dead,348,"27.90165499, 37.2598581394",37.2598581394,27.90165499,101,10232,"27.90165499, 37.2598581394",37.2598581394,27.90165499
19,19,2017,Northern_Boarder,of Accidents,11540,"30.197074783, 41.8171186952",41.8171186952,30.197074783,32,5280,"30.197074783, 41.8171186952",41.8171186952,30.197074783
51,51,2017,Northern_Boarder,of Casualties  and   Dead,112,"30.197074783, 41.8171186952",41.8171186952,30.197074783,32,5280,"30.197074783, 41.8171186952",41.8171186952,30.197074783
52,52,2017,Northern_Boarder,of Casualties  and   Injured,374,"30.197074783, 41.8171186952",41.8171186952,30.197074783,32,5280,"30.197074783, 41.8171186952",41.8171186952,30.197074783
22,22,2017,Najran,of Casualties  and   Dead,194,"18.4511003068, 46.8688495726",46.868849572600006,18.4511003068,225,13825,"18.4511003068, 46.8688495726",46.868849572600006,18.4511003068
53,53,2017,Najran,of Accidents,3193,"18.4511003068, 46.8688495726",46.868849572600006,18.4511003068,225,13825,"18.4511003068, 46.8688495726",46.868849572600006,18.4511003068
67,67,2017,Najran,of Casualties  and   Injured,766,"18.4511003068, 46.8688495726",46.868849572600006,18.4511003068,225,13825,"18.4511003068, 46.8688495726",46.868849572600006,18.4511003068
24,24,2016,Madinah,of Casualties  and   Dead,822,"24.927534539, 39.4918237173",39.4918237173,24.927534539,189,24540,"24.927534539, 39.4918237173",39.4918237173,24.927534539
38,38,2016,Madinah,of Accidents,14475,"24.927534539, 39.4918237173",39.4918237173,24.927534539,189,24540,"24.927534539, 39.4918237173",39.4918237173,24.927534539
55,55,2016,Madinah,of Casualties  and   Injured,4184,"24.927534539, 39.4918237173",39.4918237173,24.927534539,189,24540,"24.927534539, 39.4918237173",39.4918237173,24.927534539
33,33,2016,Asir,of Casualties  and   Dead,983,"19.1387847401, 42.941470036",42.941470036,19.1387847401,264,41367,"19.1387847401, 42.941470036",42.941470036,19.1387847401
34,34,2016,Asir,of Casualties  and   Injured,2541,"19.1387847401, 42.941470036",42.941470036,19.1387847401,264,41367,"19.1387847401, 42.941470036",42.941470036,19.1387847401
56,56,2016,Asir,of Accidents,32684,"19.1387847401, 42.941470036",42.941470036,19.1387847401,264,41367,"19.1387847401, 42.941470036",42.941470036,19.1387847401
35,35,2016,Riyadh,of Casualties  and   Dead,1430,"23.0814341634, 45.5857512766",45.5857512766,23.0814341634,293,242851,"23.0814341634, 45.5857512766",45.5857512766,23.0814341634
36,36,2016,Riyadh,of Accidents,141736,"23.0814341634, 45.5857512766",45.5857512766,23.0814341634,293,242851,"23.0814341634, 45.5857512766",45.5857512766,23.0814341634
72,72,2016,Riyadh,of Casualties  and   Injured,4207,"23.0814341634, 45.5857512766",45.5857512766,23.0814341634,293,242851,"23.0814341634, 45.5857512766",45.5857512766,23.0814341634
39,39,2016,Qassim,of Accidents,25664,"26.1967063704, 43.3429998455",43.3429998455,26.1967063704,193,9180,"26.1967063704, 43.3429998455",43.3429998455,26.1967063704
40,40,2016,Qassim,of Casualties  and   Injured,1513,"26.1967063704, 43.3429998455",43.3429998455,26.1967063704,193,9180,"26.1967063704, 43.3429998455",43.3429998455,26.1967063704
74,74,2016,Qassim,of Casualties  and   Dead,397,"26.1967063704, 43.3429998455",43.3429998455,26.1967063704,193,9180,"26.1967063704, 43.3429998455",43.3429998455,26.1967063704
46,46,2017,Makkah,of Casualties  and   Injured,10623,"21.628962766, 41.2636898334",41.2636898334,21.628962766,157,142487,"21.628962766, 41.2636898334",41.2636898334,21.628962766
71,71,2017,Makkah,of Casualties  and   Dead,1641,"21.628962766, 41.2636898334",41.2636898334,21.628962766,157,142487,"21.628962766, 41.2636898334",41.2636898334,21.628962766
78,78,2017,Makkah,of Accidents,145541,"21.628962766, 41.2636898334",41.2636898334,21.628962766,157,142487,"21.628962766, 41.2636898334",41.2636898334,21.628962766
48,48,2017,Asir,of Accidents,25245,"19.1387847401, 42.941470036",42.941470036,19.1387847401,263,39133,"19.1387847401, 42.941470036",42.941470036,19.1387847401
64,64,2017,Asir,of Casualties  and   Dead,828,"19.1387847401, 42.941470036",42.941470036,19.1387847401,263,39133,"19.1387847401, 42.941470036",42.941470036,19.1387847401
79,79,2017,Asir,of Casualties  and   Injured,2368,"19.1387847401, 42.941470036",42.941470036,19.1387847401,263,39133,"19.1387847401, 42.941470036",42.941470036,19.1387847401
50,50,2017,Hail,of Casualties  and   Dead,265,"27.400845724, 41.4406960508",41.4406960508,27.400845724,27,22035,"27.400845724, 41.4406960508",41.4406960508,27.400845724
66,66,2017,Hail,of Accidents,9379,"27.400845724, 41.4406960508",41.4406960508,27.400845724,27,22035,"27.400845724, 41.4406960508",41.4406960508,27.400845724
80,80,2017,Hail,of Casualties  and   Injured,773,"27.400845724, 41.4406960508",41.4406960508,27.400845724,27,22035,"27.400845724, 41.4406960508",41.4406960508,27.400845724
60,60,2016,Najran,of Accidents,3235,"18.4511003068, 46.8688495726",46.868849572600006,18.4511003068,125,2153,"18.4511003068, 46.8688495726",46.868849572600006,18.4511003068
75,75,2016,Najran,of Casualties  and   Dead,173,"18.4511003068, 46.8688495726",46.868849572600006,18.4511003068,125,2153,"18.4511003068, 46.8688495726",46.868849572600006,18.4511003068
76,76,2016,Najran,of Casualties  and   Injured,706,"18.4511003068, 46.8688495726",46.868849572600006,18.4511003068,125,2153,"18.4511003068, 46.8688495726",46.868849572600006,18.4511003068
81,81,2017,Al_Baaha,of Casualties  and   Dead,134,"20.1484058503, 41.4665484892",41.4665484892,20.1484058503,306,4131,"20.1484058503, 41.4665484892",41.4665484892,20.1484058503
82,82,2017,Al_Baaha,of Accidents,1414,"20.1484058503, 41.4665484892",41.4665484892,20.1484058503,306,4131,"20.1484058503, 41.4665484892",41.4665484892,20.1484058503
83,83,2017,Al_Baaha,of Casualties  and   Injured,1007,"20.1484058503, 41.4665484892",41.4665484892,20.1484058503,306,4131,"20.1484058503, 41.4665484892",41.4665484892,20.1484058503
